Downloaded from wid.world on 21-11-2025 at 15:49:04
Country ;Percentile ;"shweal_z_1990
Net personal wealth
Top 10% | share | adults | equal split
1990";"shweal_z_1991
Net personal wealth
Top 10% | share | adults | equal split
1991";"shweal_z_1992
Net personal wealth
Top 10% | share | adults | equal split
1992";"shweal_z_1993
Net personal wealth
Top 10% | share | adults | equal split
1993";"shweal_z_1994
Net personal wealth
Top 10% | share | adults | equal split
1994";"shweal_z_1995
Net personal wealth
Top 10% | share | adults | equal split
1995";"shweal_z_1996
Net personal wealth
Top 10% | share | adults | equal split
1996";"shweal_z_1997
Net personal wealth
Top 10% | share | adults | equal split
1997";"shweal_z_1998
Net personal wealth
Top 10% | share | adults | equal split
1998";"shweal_z_1999
Net personal wealth
Top 10% | share | adults | equal split
1999";"shweal_z_2000
Net personal wealth
Top 10% | share | adults | equal split
2000";"shweal_z_2001
Net personal wealth
Top 10% | share | adults | equal split
2001";"shweal_z_2002
Net personal wealth
Top 10% | share | adults | equal split
2002";"shweal_z_2003
Net personal wealth
Top 10% | share | adults | equal split
2003";"shweal_z_2004
Net personal wealth
Top 10% | share | adults | equal split
2004";"shweal_z_2005
Net personal wealth
Top 10% | share | adults | equal split
2005";"shweal_z_2006
Net personal wealth
Top 10% | share | adults | equal split
2006";"shweal_z_2007
Net personal wealth
Top 10% | share | adults | equal split
2007";"shweal_z_2008
Net personal wealth
Top 10% | share | adults | equal split
2008";"shweal_z_2009
Net personal wealth
Top 10% | share | adults | equal split
2009";"shweal_z_2010
Net personal wealth
Top 10% | share | adults | equal split
2010";"shweal_z_2011
Net personal wealth
Top 10% | share | adults | equal split
2011";"shweal_z_2012
Net personal wealth
Top 10% | share | adults | equal split
2012";"shweal_z_2013
Net personal wealth
Top 10% | share | adults | equal split
2013";"shweal_z_2014
Net personal wealth
Top 10% | share | adults | equal split
2014";"shweal_z_2015
Net personal wealth
Top 10% | share | adults | equal split
2015";"shweal_z_2016
Net personal wealth
Top 10% | share | adults | equal split
2016";"shweal_z_2017
Net personal wealth
Top 10% | share | adults | equal split
2017";"shweal_z_2018
Net personal wealth
Top 10% | share | adults | equal split
2018";"shweal_z_2019
Net personal wealth
Top 10% | share | adults | equal split
2019";"shweal_z_2020
Net personal wealth
Top 10% | share | adults | equal split
2020";"shweal_z_2021
Net personal wealth
Top 10% | share | adults | equal split
2021";"shweal_z_2022
Net personal wealth
Top 10% | share | adults | equal split
2022";"shweal_z_2023
Net personal wealth
Top 10% | share | adults | equal split
2023"
 Afghanistan;p90p100;0.5833;0.5833;0.5834;0.5834;0.5832;0.5834;0.5832;0.5834;0.5832;0.5834;0.5834;0.5832;0.5832;0.5833;0.5833;0.5833;0.5833;0.5834;0.5833;0.5818;0.5814;0.5801000000000001;0.5793;0.5800000000000001;0.5804;0.5808;0.5813;0.5819;0.5819;0.5819;0.5819;0.5819;0.5819;0.5819
 Albania;p90p100;0.5663;0.5662;0.5662;0.5662;0.5663;0.5662;0.5663;0.5666;0.5666;0.5670000000000001;0.5667;0.5669000000000001;0.5676;0.5675;0.5668000000000001;0.5666;0.5664;0.5655;0.5664;0.5666;0.5668000000000001;0.5680000000000001;0.5676;0.5699000000000001;0.5712;0.5706;0.5705;0.5710000000000001;0.5706;0.5700000000000001;0.5696;0.5696;0.5696;0.5696
 Algeria;p90p100;0.5961000000000001;0.596;0.5961000000000001;0.5962000000000001;0.596;0.596;0.5961000000000001;0.5961000000000001;0.5962000000000001;0.5962000000000001;0.596;0.596;0.596;0.596;0.5962000000000001;0.5962000000000001;0.596;0.5937;0.5913;0.5897;0.5884;0.5871000000000001;0.5969;0.615;0.615;0.6152000000000001;0.6153000000000001;0.6152000000000001;0.6161;0.6158;0.6164000000000001;0.6167;0.6166;0.6157
 Andorra;p90p100;0.5675;0.5671;0.5686;0.5689000000000001;0.5700000000000001;0.5695;0.5698;0.5710000000000001;0.5713;0.5715;0.5730000000000001;0.5719000000000001;0.5707;0.5709000000000001;0.5714;0.5722;0.5740000000000001;0.5743;0.5702;0.5690000000000001;0.5720000000000001;0.5717;0.5704;0.5708;0.5718;0.5715;0.5720000000000001;0.5724;0.5722;0.5716;0.5712;0.5730000000000001;0.5733;0.5733
 Angola;p90p100;0.6930000000000001;0.6930000000000001;0.6927;0.6929000000000001;0.6927;0.6928000000000001;0.6926;0.6930000000000001;0.6926;0.6929000000000001;0.6928000000000001;0.6855;0.6713;0.6489;0.6386000000000001;0.6305000000000001;0.6238;0.6162000000000001;0.6103000000000001;0.6152000000000001;0.6208;0.6263000000000001;0.6315000000000001;0.6385000000000001;0.6459;0.6639;0.6805;0.6867000000000001;0.6924;0.6924;0.6923;0.6923;0.6924;0.6923
 Anguilla;p90p100;0.6719;0.6705;0.6684;0.6672;0.666;0.6642;0.6626000000000001;0.6544;0.6528;0.6518;0.651;0.6492;0.6462;0.6449;0.6436000000000001;0.6424000000000001;0.6412;0.64;0.6392;0.6383;0.637;0.6329;0.6293000000000001;0.627;0.624;0.6204000000000001;0.6173000000000001;0.6143000000000001;0.6121;0.6084;0.6053000000000001;0.6052000000000001;0.6051000000000001;0.6051000000000001
 Antigua and Barbuda;p90p100;0.6716000000000001;0.6706000000000001;0.6686000000000001;0.6673;0.6658000000000001;0.6642;0.6624;0.6545000000000001;0.653;0.6519;0.6511;0.649;0.6463;0.6449;0.6434000000000001;0.6425000000000001;0.6412;0.64;0.6391;0.6384000000000001;0.6368;0.6329;0.6294000000000001;0.627;0.6239;0.6205;0.6172000000000001;0.6143000000000001;0.612;0.6085;0.6048;0.6048;0.6052000000000001;0.6049
 Argentina;p90p100;0.6115;0.6116;0.6116;0.6116;0.6115;0.6116;0.6114;0.6114;0.6115;0.6115;0.6114;0.6213000000000001;0.6274000000000001;0.6064;0.5969;0.5908;0.5880000000000001;0.5936;0.5939;0.5854;0.5884;0.5849;0.5801000000000001;0.5814;0.5815;0.5862;0.5929;0.5864;0.5875;0.5956;0.5951000000000001;0.5880000000000001;0.5870000000000001;0.5870000000000001
 Armenia;p90p100;0.5968;0.5967;0.5968;0.5968;0.5967;0.5967;0.5968;0.5936;0.5901000000000001;0.5885;0.5861000000000001;0.5840000000000001;0.5858;0.5849;0.5927;0.5903;0.5775;0.5789000000000001;0.5764;0.5751000000000001;0.5798;0.5769000000000001;0.5774;0.5779000000000001;0.5799000000000001;0.5815;0.5807;0.5872;0.5876;0.5804;0.5804;0.5804;0.5804;0.5886
 Aruba;p90p100;0.6718000000000001;0.6704;0.6687000000000001;0.6671;0.6658000000000001;0.6642;0.6626000000000001;0.6546000000000001;0.6528;0.6517000000000001;0.6511;0.6492;0.6462;0.6448;0.6436000000000001;0.6425000000000001;0.6411;0.64;0.6393;0.6383;0.637;0.6329;0.6294000000000001;0.6269;0.6241;0.6203000000000001;0.6173000000000001;0.6142000000000001;0.6121;0.6085;0.6055;0.6049;0.6051000000000001;0.6053000000000001
